INFO 2024-08-01 23:57:15,480 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-01 23:57:15,762 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1699555231.9496813
DEBUG 2024-08-01 23:57:15,762 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\asyncio\threads.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,762 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\views\defaults.py first seen with mtime 1699555232.2038841
DEBUG 2024-08-01 23:57:15,762 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\email\_policybase.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,762 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\backends\postgresql\operations.py first seen with mtime 1699555232.0500054
DEBUG 2024-08-01 23:57:15,762 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\utils\log.py first seen with mtime 1699555232.1876123
DEBUG 2024-08-01 23:57:15,762 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\ast.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,770 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1699555230.8914514
DEBUG 2024-08-01 23:57:15,770 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\email\contentmanager.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,770 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\wsgiref\__init__.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,770 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\asyncio\tasks.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,770 autoreload File E:\DjangoProject\DjangoApplication\UAS\programms\models.py first seen with mtime 1722365474.822275
DEBUG 2024-08-01 23:57:15,770 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\DLLs\_wmi.pyd first seen with mtime 1718723668.9416952
DEBUG 2024-08-01 23:57:15,770 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1699555231.5172262
DEBUG 2024-08-01 23:57:15,774 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\hmac.py first seen with mtime 1717698404.0
